skill,role_type,exp_category,primary_location
Credit underwriting,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Legal documentation,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
Credit risk,Data Science,Mid Level (3-5 Yrs),Bangalore/ Bangalore
java,Data Science,Mid Level (3-5 Yrs),Warangal
Spark,Data Science,Mid Level (3-5 Yrs),Warangal
Python,Data Science,Mid Level (3-5 Yrs),Warangal
Kafka,Data Science,Mid Level (3-5 Yrs),Warangal
Computer science,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Wealth management,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Lead Business Analyst,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Machine Learning,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Manager Technology,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Stakeholder management,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Financial services,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Data Analysis,Data Science,Mid Level (3-5 Yrs),Tiruchirapalli/Trichy
Pyspark,Data Science,Mid Level (3-5 Yrs),Madurai
Bigquery,Data Science,Mid Level (3-5 Yrs),Madurai
HDFSDataproc,Data Science,Mid Level (3-5 Yrs),Madurai
Miops,Data Science,Mid Level (3-5 Yrs),Madurai
Airflow,Data Science,Mid Level (3-5 Yrs),Madurai
Vertex,Data Science,Mid Level (3-5 Yrs),Madurai
Pubsub,Data Science,Mid Level (3-5 Yrs),Madurai
Computer science,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Data Analysis,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Usage,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Debugging,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
System programming,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Data collection,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Hypothesis Testinghr solutions,Data Science,Junior (1-2 Yrs),Hybrid - Bangalore
Predictive Modeling,Data Science,Senior (6-10 Yrs),Bangalore
Customer Analytics,Data Science,Senior (6-10 Yrs),Bangalore
Marketing Analytics,Data Science,Senior (6-10 Yrs),Bangalore
Machine Learning,Data Science,Senior (6-10 Yrs),Bangalore
Python,Data Science,Senior (6-10 Yrs),Bangalore
AWSData,Data Science,Senior (6-10 Yrs),Bangalore
Senior,Data Science,Senior (6-10 Yrs),Bangalore
Artificial Intelligence,Data Science,Expert (10+ Yrs),Pune
NLP,Data Science,Expert (10+ Yrs),Pune
Machine Learning,Data Science,Expert (10+ Yrs),Pune
Deep Learning,Data Science,Expert (10+ Yrs),Pune
Information Extractionfeature-learning.Market Intelligencesearch,Data Science,Expert (10+ Yrs),Pune
Data Science Engineer,Data Science,Mid Level (3-5 Yrs),Delhi
Machine Learning,Data Science,Mid Level (3-5 Yrs),Delhi
Deep Learning,Data Science,Mid Level (3-5 Yrs),Delhi
Data Science,Data Science,Mid Level (3-5 Yrs),Delhi
Python,Data Science,Mid Level (3-5 Yrs),Delhi
Predictive Modeling,Data Science,Mid Level (3-5 Yrs),Delhi
Machine Learning ops,Data Science,Mid Level (3-5 Yrs),Delhi
Regression,Data Science,Mid Level (3-5 Yrs),Delhi
Computer visiondata science,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Coding,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Data Analysis,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Artificial Intelligence,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Machine Learning,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Data structures,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Data Analysis,Data Science,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Data Analysis,Data Science,Junior (1-2 Yrs),Noida
Data validation,Data Science,Junior (1-2 Yrs),Noida
Excel,Data Science,Junior (1-2 Yrs),Noida
Data modeling,Data Science,Junior (1-2 Yrs),Noida
Data Analysis,Data Science,Junior (1-2 Yrs),Noida
Data collection,Data Science,Junior (1-2 Yrs),Noida
TIBCOData quality,Data Science,Junior (1-2 Yrs),Noida
Data analysisdata science,Data Science,Junior (1-2 Yrs),Hassan
Data Analysis,Data Science,Junior (1-2 Yrs),Hassan
Predictive modeling,Data Science,Junior (1-2 Yrs),Hassan
Risk management,Data Science,Junior (1-2 Yrs),Hassan
Data mining,Data Science,Junior (1-2 Yrs),Hassan
Forecasting,Data Science,Junior (1-2 Yrs),Hassan
Financial services,Data Science,Junior (1-2 Yrs),Hassan
