skill,role_type,exp_category,primary_location
Presales,Data Analytics,Senior (6-10 Yrs),Hyderabad
Market research,Data Analytics,Senior (6-10 Yrs),Hyderabad
Account management,Data Analytics,Senior (6-10 Yrs),Hyderabad
Sales process,Data Analytics,Senior (6-10 Yrs),Hyderabad
Research,Data Analytics,Senior (6-10 Yrs),Hyderabad
RFQ,Data Analytics,Senior (6-10 Yrs),Hyderabad
advanced analytics,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Report generation,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Statistical analysis,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Database management,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Data collection,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Hypothesis Testingdata visualization,Data Analytics,Mid Level (3-5 Yrs),Mumbai (All Areas)
Database design,Data Analytics,Junior (1-2 Yrs),Karaikkudi
Healthcarepower bi,Data Analytics,Junior (1-2 Yrs),Karaikkudi
MSBIData analytics,Data Analytics,Junior (1-2 Yrs),Karaikkudi
Data warehousing,Data Analytics,Junior (1-2 Yrs),Karaikkudi
Reporting tools,Data Analytics,Junior (1-2 Yrs),Karaikkudi
SQL,Data Analytics,Junior (1-2 Yrs),Karaikkudi
Report generation,Data Analytics,Fresher (0 Yrs),Bangalore
Data modeling,Data Analytics,Fresher (0 Yrs),Bangalore
Information security,Data Analytics,Fresher (0 Yrs),Bangalore
Disaster recoveryquerypower bi,Data Analytics,Fresher (0 Yrs),Bangalore
Data Analysis,Data Analytics,Fresher (0 Yrs),Bangalore
Qlik,Data Analytics,Fresher (0 Yrs),Bangalore
View,Data Analytics,Fresher (0 Yrs),Bangalore
model building,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Statistical modeling,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Logistic Regression,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Fintech,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Xgboost,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Advanced Analytics,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Random forest,Data Analytics,Mid Level (3-5 Yrs),Ahmedabad
Health insurance,Data Analytics,Mid Level (3-5 Yrs),Chennai
Reinsurance,Data Analytics,Mid Level (3-5 Yrs),Chennai
Interpersonal skills,Data Analytics,Mid Level (3-5 Yrs),Chennai
Excel,Data Analytics,Mid Level (3-5 Yrs),Chennai
MS Access,Data Analytics,Mid Level (3-5 Yrs),Chennai
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Chennai
Actuarial,Data Analytics,Mid Level (3-5 Yrs),Chennai
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Chennai
BPOAnalytical,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Risk Analyst,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Machine Learning,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Credit risk,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Information technology,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Financial services,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
global sales,Data Analytics,Junior (1-2 Yrs),Jaipur
Data Analysis,Data Analytics,Junior (1-2 Yrs),Jaipur
Stock exchange,Data Analytics,Junior (1-2 Yrs),Jaipur
BI Analystmicrosoft azurepower bi,Data Analytics,Junior (1-2 Yrs),Jaipur
Business intelligencedigital transformation,Data Analytics,Junior (1-2 Yrs),Jaipur
global sales,Data Analytics,Junior (1-2 Yrs),Indore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Indore
Stock exchange,Data Analytics,Junior (1-2 Yrs),Indore
BI Analystmicrosoft azurepower bi,Data Analytics,Junior (1-2 Yrs),Indore
Business intelligencedigital transformation,Data Analytics,Junior (1-2 Yrs),Indore
Business administration,Data Analytics,Junior (1-2 Yrs),Chandigarh
Data Analysis,Data Analytics,Junior (1-2 Yrs),Chandigarh
Aviationfedex,Data Analytics,Junior (1-2 Yrs),Chandigarh
Business Analysis,Data Analytics,Junior (1-2 Yrs),Chandigarh
Project Management,Data Analytics,Junior (1-2 Yrs),Chandigarh
Business solutions,Data Analytics,Junior (1-2 Yrs),Chandigarh
Marketing Analyst,Data Analytics,Junior (1-2 Yrs),Chandigarh
Search Engine,Data Analytics,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mumbai
Searching,Data Analytics,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mumbai
Engine,Data Analytics,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Operations research,Data Analytics,Junior (1-2 Yrs),Bangalore
Web analytics,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Social media,Data Analytics,Junior (1-2 Yrs),Bangalore
Data collection,Data Analytics,Junior (1-2 Yrs),Bangalore
Customer support,Data Analytics,Junior (1-2 Yrs),Bangalore
Forecasting,Data Analytics,Junior (1-2 Yrs),Bangalore
Budget analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Compliance,Data Analytics,Junior (1-2 Yrs),Bangalore
Management systemscompliance monitoring,Data Analytics,Junior (1-2 Yrs),Bangalore
SAGEHRBudgeting,Data Analytics,Junior (1-2 Yrs),Bangalore
Supply chain,Data Analytics,Junior (1-2 Yrs),Bangalore
Qualitative research,Data Analytics,Junior (1-2 Yrs),Bangalore
GSMData analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
Data management,Data Analytics,Junior (1-2 Yrs),Bangalore
Project Management,Data Analytics,Junior (1-2 Yrs),Bangalore
Spend analysis,Data Analytics,Junior (1-2 Yrs),Bangalore
SCM,Data Analytics,Junior (1-2 Yrs),Bangalore
fund administration,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Fund Accountinginvestment products,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Investment,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Investment banking,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Accounting,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Administration,Data Analytics,Mid Level (3-5 Yrs),Hyderabad
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data validation,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data conversion,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data modeling,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Enterprise architecture,Data Analytics,Mid Level (3-5 Yrs),Bangalore
PLSQLData structures,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Oracle,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Fresher (0 Yrs),Indore
Automation,Data Analytics,Fresher (0 Yrs),Indore
Data management,Data Analytics,Fresher (0 Yrs),Indore
Process improvement,Data Analytics,Fresher (0 Yrs),Indore
Financial planning,Data Analytics,Fresher (0 Yrs),Indore
Budgeting,Data Analytics,Fresher (0 Yrs),Indore
Forecasting,Data Analytics,Fresher (0 Yrs),Indore
Data Analysis,Data Analytics,Fresher (0 Yrs),Indore
Interpersonal skills,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Competitive analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Market research,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Sales Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Budgeting,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Forecasting,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Sales management,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Project reports,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Statistical analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Transcription,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Analyst IIResearch,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Research Analyst,Data Analytics,Mid Level (3-5 Yrs),Bangalore
Automation,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
Project financepricing analysis,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
Project Management,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
Finance,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
Consultingpricing strategy,Data Analytics,Mid Level (3-5 Yrs),Trivandrum/Thiruvananthapuram
risk rating,Data Analytics,Junior (1-2 Yrs),Jaipur
Data Analysis,Data Analytics,Junior (1-2 Yrs),Jaipur
Risk analysisfinancial services,Data Analytics,Junior (1-2 Yrs),Jaipur
Due diligence,Data Analytics,Junior (1-2 Yrs),Jaipur
Business Process Operations,Data Analytics,Junior (1-2 Yrs),Jaipur
Process,Data Analytics,Junior (1-2 Yrs),Jaipur
SANUsagedata science,Data Analytics,Junior (1-2 Yrs),Chandigarh
Data Analysis,Data Analytics,Junior (1-2 Yrs),Chandigarh
Business Analysis,Data Analytics,Junior (1-2 Yrs),Chandigarh
Diversity and Inclusion,Data Analytics,Junior (1-2 Yrs),Chandigarh
Financial planning,Data Analytics,Junior (1-2 Yrs),Chandigarh
Product design,Data Analytics,Junior (1-2 Yrs),Chandigarh
MS Office suite,Data Analytics,Junior (1-2 Yrs),Pune
Data Analysis,Data Analytics,Junior (1-2 Yrs),Pune
Operations Analyst,Data Analytics,Junior (1-2 Yrs),Pune
Financial analysis,Data Analytics,Junior (1-2 Yrs),Pune
MISAnalytical,Data Analytics,Junior (1-2 Yrs),Pune
Data collection,Data Analytics,Junior (1-2 Yrs),Pune
Financial operations,Data Analytics,Junior (1-2 Yrs),Pune
Machine Learning,Data Analytics,Senior (6-10 Yrs),Coimbatore
Python,Data Analytics,Senior (6-10 Yrs),Coimbatore
SQLData,Data Analytics,Senior (6-10 Yrs),Coimbatore
Data Science,Data Analytics,Senior (6-10 Yrs),Coimbatore
Machine,Data Analytics,Senior (6-10 Yrs),Coimbatore
PLMData analysis,Data Analytics,Junior (1-2 Yrs),Ahmedabad
Change management,Data Analytics,Junior (1-2 Yrs),Ahmedabad
Data modeling,Data Analytics,Junior (1-2 Yrs),Ahmedabad
Project Management,Data Analytics,Junior (1-2 Yrs),Ahmedabad
CADTIBCOBusiness solutions,Data Analytics,Junior (1-2 Yrs),Ahmedabad
Analytical skills,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Due diligence,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Anti money laundering,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Financial services,Data Analytics,Mid Level (3-5 Yrs),Jaipur
AMLCompliance,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Currency,Data Analytics,Mid Level (3-5 Yrs),Jaipur
Analytical skills,Data Analytics,Junior (1-2 Yrs),Mohali
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mohali
Due diligence,Data Analytics,Junior (1-2 Yrs),Mohali
Anti money laundering,Data Analytics,Junior (1-2 Yrs),Mohali
Financial services,Data Analytics,Junior (1-2 Yrs),Mohali
Compliance,Data Analytics,Junior (1-2 Yrs),Mohali
AML Senior Analyst,Data Analytics,Junior (1-2 Yrs),Mohali
Analytical Skill,Data Analytics,Junior (1-2 Yrs),Mohali
SQLFintech,Data Analytics,Junior (1-2 Yrs),Jaipur
Technology,Data Analytics,Junior (1-2 Yrs),Jaipur
Finance,Data Analytics,Junior (1-2 Yrs),Jaipur
Data Management,Data Analytics,Junior (1-2 Yrs),Jaipur
Data Analysis,Data Analytics,Junior (1-2 Yrs),Jaipur
System,Data Analytics,Junior (1-2 Yrs),Jaipur
Change management,Data Analytics,Junior (1-2 Yrs),Chennai
Information security,Data Analytics,Junior (1-2 Yrs),Chennai
Macrosdata analysisrelationship development,Data Analytics,Junior (1-2 Yrs),Chennai
Marketing communication,Data Analytics,Junior (1-2 Yrs),Chennai
Relationship,Data Analytics,Junior (1-2 Yrs),Chennai
Order management,Data Analytics,Mid Level (3-5 Yrs),Mohali
Procurement,Data Analytics,Mid Level (3-5 Yrs),Mohali
ERPData analysis,Data Analytics,Mid Level (3-5 Yrs),Mohali
XMLEDIOracle,Data Analytics,Mid Level (3-5 Yrs),Mohali
Troubleshooting,Data Analytics,Mid Level (3-5 Yrs),Mohali
Order management,Data Analytics,Mid Level (3-5 Yrs),Mohali
Procurement,Data Analytics,Mid Level (3-5 Yrs),Mohali
ERPData analysis,Data Analytics,Mid Level (3-5 Yrs),Mohali
XMLEDIOracle,Data Analytics,Mid Level (3-5 Yrs),Mohali
Troubleshooting,Data Analytics,Mid Level (3-5 Yrs),Mohali
Waste management,Data Analytics,Mid Level (3-5 Yrs),Indore
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Indore
Software packages,Data Analytics,Mid Level (3-5 Yrs),Indore
Project Management,Data Analytics,Mid Level (3-5 Yrs),Indore
Report writingdata visualization,Data Analytics,Mid Level (3-5 Yrs),Indore
Research,Data Analytics,Mid Level (3-5 Yrs),Indore
Computer science,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Matrix,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Project Management,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Software development life cycle,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Business solutions,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Solution Analyst,Data Analytics,Mid Level (3-5 Yrs),Vadodara
SDLC,Data Analytics,Mid Level (3-5 Yrs),Vadodara
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mohali
Automation,Data Analytics,Junior (1-2 Yrs),Mohali
Data management,Data Analytics,Junior (1-2 Yrs),Mohali
Process improvement,Data Analytics,Junior (1-2 Yrs),Mohali
Financial planning,Data Analytics,Junior (1-2 Yrs),Mohali
Budgeting,Data Analytics,Junior (1-2 Yrs),Mohali
Forecasting,Data Analytics,Junior (1-2 Yrs),Mohali
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mohali
Machine Learning with Python,Data Analytics,Mid Level (3-5 Yrs),Chennai
Python,Data Analytics,Mid Level (3-5 Yrs),Chennai
Machine,Data Analytics,Mid Level (3-5 Yrs),Chennai
Machine Learning,Data Analytics,Mid Level (3-5 Yrs),Chennai
Analytical skills,Data Analytics,Mid Level (3-5 Yrs),Mohali
Data Analysis,Data Analytics,Mid Level (3-5 Yrs),Mohali
Usage,Data Analytics,Mid Level (3-5 Yrs),Mohali
Sales,Data Analytics,Mid Level (3-5 Yrs),Mohali
Business Economics,Data Analytics,Mid Level (3-5 Yrs),Mohali
Focus,Data Analytics,Mid Level (3-5 Yrs),Mohali
Marketing Research Analyst,Data Analytics,Mid Level (3-5 Yrs),Mohali
Marketing campaigns,Data Analytics,Mid Level (3-5 Yrs),Mohali
Freshersaml,Data Analytics,Senior (6-10 Yrs),Coimbatore
KYCBanking,Data Analytics,Senior (6-10 Yrs),Coimbatore
Operationscommunication skills,Data Analytics,Senior (6-10 Yrs),Coimbatore
Hiring,Data Analytics,Senior (6-10 Yrs),Coimbatore
EHShuman capital,Data Analytics,Senior (6-10 Yrs),Hyderabad
Management consulting,Data Analytics,Senior (6-10 Yrs),Hyderabad
Client engagement,Data Analytics,Senior (6-10 Yrs),Hyderabad
Programming,Data Analytics,Senior (6-10 Yrs),Hyderabad
Research,Data Analytics,Senior (6-10 Yrs),Hyderabad
MS Office,Data Analytics,Senior (6-10 Yrs),Hyderabad
MATLAB,Data Analytics,Senior (6-10 Yrs),Hyderabad
Reinsurance,Data Analytics,Fresher (0 Yrs),Pune
French,Data Analytics,Fresher (0 Yrs),Pune
SAPBusiness Analyst,Data Analytics,Fresher (0 Yrs),Pune
Client servicing,Data Analytics,Fresher (0 Yrs),Pune
Finance,Data Analytics,Fresher (0 Yrs),Pune
German,Data Analytics,Fresher (0 Yrs),Pune
Spanish,Data Analytics,Fresher (0 Yrs),Pune
Statistical programming,Data Analytics,Fresher (0 Yrs),Mohali
CROSASPharma,Data Analytics,Fresher (0 Yrs),Mohali
Clinical trials,Data Analytics,Fresher (0 Yrs),Mohali
Mentor,Data Analytics,Fresher (0 Yrs),Mohali
Managementclinical data,Data Analytics,Fresher (0 Yrs),Mohali
Waste management,Data Analytics,Fresher (0 Yrs),Mumbai
Health insurance,Data Analytics,Fresher (0 Yrs),Mumbai
Data Analysis,Data Analytics,Fresher (0 Yrs),Mumbai
Equity,Data Analytics,Fresher (0 Yrs),Mumbai
Healthcare,Data Analytics,Fresher (0 Yrs),Mumbai
Open source,Data Analytics,Fresher (0 Yrs),Mumbai
Research analysis,Data Analytics,Fresher (0 Yrs),Mumbai
Senior Research Associate,Data Analytics,Fresher (0 Yrs),Mumbai
Business Architecture,Data Analytics,Senior (6-10 Yrs),Bangalore
IBSMEData Architecture,Data Analytics,Senior (6-10 Yrs),Bangalore
CBSQLData,Data Analytics,Senior (6-10 Yrs),Bangalore
Architecture,Data Analytics,Senior (6-10 Yrs),Bangalore
Secondary Research,Data Analytics,Junior (1-2 Yrs),Mumbai
Economic Research,Data Analytics,Junior (1-2 Yrs),Mumbai
Public Health,Data Analytics,Junior (1-2 Yrs),Mumbai
Social Research,Data Analytics,Junior (1-2 Yrs),Mumbai
Research analysis,Data Analytics,Junior (1-2 Yrs),Mumbai
Senior,Data Analytics,Junior (1-2 Yrs),Mumbai
Research,Data Analytics,Junior (1-2 Yrs),Mumbai
Industry research,Data Analytics,Senior (6-10 Yrs),Jaipur
Report generation,Data Analytics,Senior (6-10 Yrs),Jaipur
Data analysistableau,Data Analytics,Senior (6-10 Yrs),Jaipur
Associate Analyst,Data Analytics,Senior (6-10 Yrs),Jaipur
Competitive analysis,Data Analytics,Senior (6-10 Yrs),Jaipur
Market researchpower bi,Data Analytics,Senior (6-10 Yrs),Jaipur
Industry research,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Report generation,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Data analysistableau,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Associate Analyst,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Competitive analysis,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Market researchpower bi,Data Analytics,Mid Level (3-5 Yrs),Gandhinagar
Artificial Intelligence,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
AIcleaning,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Data Science,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Data Preprocessing,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Software development,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Ci/Cd,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Code Review,Data Analytics,Fresher (0 Yrs),Kochi/Cochin
Career development,Data Analytics,Fresher (0 Yrs),Coimbatore
OPEXtableau,Data Analytics,Fresher (0 Yrs),Coimbatore
Financial reporting,Data Analytics,Fresher (0 Yrs),Coimbatore
Data Analysis,Data Analytics,Fresher (0 Yrs),Coimbatore
Finance,Data Analytics,Fresher (0 Yrs),Coimbatore
Financial planning,Data Analytics,Fresher (0 Yrs),Coimbatore
Operations,Data Analytics,Fresher (0 Yrs),Coimbatore
Junior Analyst,Data Analytics,Senior (6-10 Yrs),Remote
Data Analysis,Data Analytics,Senior (6-10 Yrs),Remote
Data collection,Data Analytics,Senior (6-10 Yrs),Remote
Market research,Data Analytics,Senior (6-10 Yrs),Remote
Collections,Data Analytics,Senior (6-10 Yrs),Remote
Research,Data Analytics,Senior (6-10 Yrs),Remote
Administration,Data Analytics,Junior (1-2 Yrs),Mumbai
Data Analysis,Data Analytics,Junior (1-2 Yrs),Mumbai
Quantitative research,Data Analytics,Junior (1-2 Yrs),Mumbai
Networking,Data Analytics,Junior (1-2 Yrs),Mumbai
Renewable energy,Data Analytics,Junior (1-2 Yrs),Mumbai
Sociology,Data Analytics,Junior (1-2 Yrs),Mumbai
Manager Quality Control,Data Analytics,Junior (1-2 Yrs),Mumbai
Macros,Data Analytics,Junior (1-2 Yrs),Mumbai
Unix,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Product management,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Computer science,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
GITdata science,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Machine Learning,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Technical leadership,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Workflow,Data Analytics,Fresher (0 Yrs),Sahibzada Ajit Singh Nagar
Data Analysis,Data Analytics,Junior (1-2 Yrs),Noida
Google Ads,Data Analytics,Junior (1-2 Yrs),Noida
Google Analytics,Data Analytics,Junior (1-2 Yrs),Noida
Facebook Ads,Data Analytics,Junior (1-2 Yrs),Noida
Analytical Skills,Data Analytics,Junior (1-2 Yrs),Noida
Numerical Ability,Data Analytics,Junior (1-2 Yrs),Noida
Number Crunching,Data Analytics,Junior (1-2 Yrs),Noida
Analytical Skill,Data Analytics,Junior (1-2 Yrs),Noida
Procurement,Data Analytics,Senior (6-10 Yrs),Gurgaon
Home appliances,Data Analytics,Senior (6-10 Yrs),Gurgaon
Accessories,Data Analytics,Senior (6-10 Yrs),Gurgaon
Data Analysis,Data Analytics,Senior (6-10 Yrs),Gurgaon
Costing,Data Analytics,Senior (6-10 Yrs),Gurgaon
Switchgear,Data Analytics,Senior (6-10 Yrs),Gurgaon
Circuit breakers,Data Analytics,Senior (6-10 Yrs),Gurgaon
MIS,Data Analytics,Senior (6-10 Yrs),Gurgaon
Data Sciencealgorithms,Data Analytics,Fresher (0 Yrs),Mumbai
Hadoop,Data Analytics,Fresher (0 Yrs),Mumbai
Apache Server,Data Analytics,Fresher (0 Yrs),Mumbai
Programming,Data Analytics,Fresher (0 Yrs),Mumbai
Machine Learning,Data Analytics,Fresher (0 Yrs),Mumbai
Deep Learning,Data Analytics,Fresher (0 Yrs),Mumbai
SQL,Data Analytics,Fresher (0 Yrs),Mumbai
trade life cycle,Data Analytics,Junior (1-2 Yrs),Gurgaon
MS Exceldata management,Data Analytics,Junior (1-2 Yrs),Gurgaon
KYCcapital market operationalinvestment banking,Data Analytics,Junior (1-2 Yrs),Gurgaon
Credit Derivatives Swapsfinance management,Data Analytics,Junior (1-2 Yrs),Gurgaon
Accounting,Data Analytics,Mid Level (3-5 Yrs),Delhi
Corporate finance,Data Analytics,Mid Level (3-5 Yrs),Delhi
Finance,Data Analytics,Mid Level (3-5 Yrs),Delhi
Corporate,Data Analytics,Mid Level (3-5 Yrs),Delhi
Reinsurance,Data Analytics,Fresher (0 Yrs),Pune
Operations Analyst,Data Analytics,Fresher (0 Yrs),Pune
Corporate,Data Analytics,Fresher (0 Yrs),Pune
Customer service,Data Analytics,Fresher (0 Yrs),Pune
Service quality,Data Analytics,Fresher (0 Yrs),Pune
Quality,Data Analytics,Fresher (0 Yrs),Pune
Product management,Data Analytics,Fresher (0 Yrs),Noida
Supply chain,Data Analytics,Fresher (0 Yrs),Noida
Procurement,Data Analytics,Fresher (0 Yrs),Noida
Promotional campaigns,Data Analytics,Fresher (0 Yrs),Noida
Data Analysis,Data Analytics,Fresher (0 Yrs),Noida
Costing,Data Analytics,Fresher (0 Yrs),Noida
SAPData management,Data Analytics,Fresher (0 Yrs),Noida
Business administration,Data Analytics,Fresher (0 Yrs),Noida
Real Time Analyst,Data Analytics,Fresher (0 Yrs),Noida
Interpersonal skills,Data Analytics,Fresher (0 Yrs),Noida
Staffing,Data Analytics,Fresher (0 Yrs),Noida
Issue resolution,Data Analytics,Fresher (0 Yrs),Noida
Analyst IIBusiness intelligence,Data Analytics,Fresher (0 Yrs),Noida
Pilot,Data Analytics,Mid Level (3-5 Yrs),Delhi
Business Analysis,Data Analytics,Mid Level (3-5 Yrs),Delhi
Financial analysis,Data Analytics,Mid Level (3-5 Yrs),Delhi
Conceptualization,Data Analytics,Mid Level (3-5 Yrs),Delhi
Equity,Data Analytics,Mid Level (3-5 Yrs),Delhi
Research Analyst,Data Analytics,Mid Level (3-5 Yrs),Delhi
Financial modelling,Data Analytics,Mid Level (3-5 Yrs),Delhi
Analytical skills,Data Analytics,Fresher (0 Yrs),Delhi
Basic,Data Analytics,Fresher (0 Yrs),Delhi
Head Business Development,Data Analytics,Fresher (0 Yrs),Delhi
Associate Research Analyst,Data Analytics,Fresher (0 Yrs),Delhi
Data Analysis,Data Analytics,Fresher (0 Yrs),Delhi
Research,Data Analytics,Fresher (0 Yrs),Delhi
Portfolio management,Data Analytics,Fresher (0 Yrs),Delhi
Research Associate,Data Analytics,Fresher (0 Yrs),Delhi
Excel,Data Analytics,Fresher (0 Yrs),Delhi / NCR
Resource coordination,Data Analytics,Fresher (0 Yrs),Delhi / NCR
Staffing,Data Analytics,Fresher (0 Yrs),Delhi / NCR
Resource allocation,Data Analytics,Fresher (0 Yrs),Delhi / NCR
Scheduling,Data Analytics,Fresher (0 Yrs),Delhi / NCR
MS Office,Data Analytics,Fresher (0 Yrs),Delhi / NCR
Credit Analystcreditcredit analysis,Data Analytics,Fresher (0 Yrs),Noida
Engineering services,Data Analytics,Fresher (0 Yrs),Noida
C++Product engineering,Data Analytics,Fresher (0 Yrs),Noida
Data Analysis,Data Analytics,Fresher (0 Yrs),Noida
Machine Learning,Data Analytics,Fresher (0 Yrs),Noida
System design,Data Analytics,Fresher (0 Yrs),Noida
MATLABAutomotive,Data Analytics,Fresher (0 Yrs),Noida
NISMTechnical analysis,Data Analytics,Fresher (0 Yrs),Pune
Client satisfaction,Data Analytics,Fresher (0 Yrs),Pune
Data Analysis,Data Analytics,Fresher (0 Yrs),Pune
Finance,Data Analytics,Fresher (0 Yrs),Pune
Database maintenance,Data Analytics,Fresher (0 Yrs),Pune
Research Head,Data Analytics,Fresher (0 Yrs),Pune
Analyst 1,Data Analytics,Fresher (0 Yrs),Pune
Analytical skills,Data Analytics,Senior (6-10 Yrs),Ludhiana
Management Associate,Data Analytics,Senior (6-10 Yrs),Ludhiana
Head Business Development,Data Analytics,Senior (6-10 Yrs),Ludhiana
Associate Research Analyst,Data Analytics,Senior (6-10 Yrs),Ludhiana
Finance,Data Analytics,Senior (6-10 Yrs),Ludhiana
Research,Data Analytics,Senior (6-10 Yrs),Ludhiana
Portfolio management,Data Analytics,Senior (6-10 Yrs),Ludhiana
Fundamental analysis,Data Analytics,Senior (6-10 Yrs),Ludhiana
GSMASRAdministration,Data Analytics,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Data Analysis,Data Analytics,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
HRISProject management,Data Analytics,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
HROperations,Data Analytics,Fresher (0 Yrs),Hybrid - Gurgaon/ Gurgaon
Service management,Data Analytics,Fresher (0 Yrs),Hybrid - Noida
Automation,Data Analytics,Fresher (0 Yrs),Hybrid - Noida
