Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
"Applied Engineer, Machine Learning",Bayer,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,sqlData MartData Mart DesignPower BicubePythonDataBi,Other,Bangalore,1,4,Junior (1-2 Yrs),Not Disclosed
Natural Language Processing (NLP) AI Platform Engineer,Accenture,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",pharmabusiness analystBusiness AnalysisBusiness AnalyticsBusiness Analysis PlanningbaPharmaceuticalPlanning,Other,Kolkata,5,7,Mid Level (3-5 Yrs),Not Disclosed
Engineering Services Engineer - Machine Learning,Siemens,4-9 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru, Delhi",Business AnalysisCapacity Managementprojects initiationProject Managementfinancial managementBusiness Management Analysisprojects planningProject,Other,Mumbai,4,9,Mid Level (3-5 Yrs),Not Disclosed
Analytics and Reporting Engineer,Cargill,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Business ManagementManagement ReportingExcelMS AccessAnalyticsMicrosoftAccessManagement,Data Analytics,Kolkata,4,7,Mid Level (3-5 Yrs),Not Disclosed
Azure Machine Learing and Databricks Engineer,Tech Mahindra,4-7 Yrs,Not disclosed,"Mumbai, Navi Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Pricing Analysispower BIprice pack architecturePricing Strategyprice promoNet Revenue ManagementRevenue ManagementNielsen IRI,Other,Mumbai,4,7,Mid Level (3-5 Yrs),Not Disclosed
MLops Engineer,Course5 Intelligence,2-5 Yrs,Not disclosed,Mumbai (All Areas),Supply chainProcess automationComputer scienceProcess AnalystMySQLMachine learningData structuresdata visualization,Other,Mumbai (All Areas),2,5,Junior (1-2 Yrs),Not Disclosed
software engineer,Alphaics,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Insurance FoundationFoundationInsuranceBusiness analysisLife insurance,Other,Hyderabad,3,5,Mid Level (3-5 Yrs),Not Disclosed
Dematic - Lead Engineer Python,Quality Engineering Software Technologies Pvt. Ltd.,1-4 Yrs,Not disclosed,Chennai,ERPProject managementAnalyticalHTTPCustomer serviceTroubleshootingBusiness caseFreight,Other,Chennai,1,4,Junior (1-2 Yrs),Not Disclosed
AI Engineering Lead,IBM,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",AutomationAnalyticalAgileScrumCustomer serviceAsset managementBusiness strategyRisk management,Other,Kolkata,4,9,Mid Level (3-5 Yrs),Not Disclosed
Urgent Requirement- MDM Informatica Engineer- US MNC In Pune Hybrid,IntraEdge Technology,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Service managementPerformance managementAnalyticalData collectionIT operationsInformation technologyOperationsSQL,Other,Kolkata,5,10,Mid Level (3-5 Yrs),Not Disclosed
